id_redacao,total_sentencas,sentencas_introducao,sentencas_argumentacao,sentencas_conclusao,media_palavras_sentenca_com_sw,media_palavras_sentenca_sem_sw,total_paragrafos,paragrafos_introducao,paragrafos_argumentacao,paragrafos_conclusao,media_palavras_paragrafo_com_sw,media_palavras_paragrafo_sem_sw,projeto_texto,total_palavras_com_sw,palavras_unicas_com_sw,diversidade_lexical_com_sw,total_palavras_sem_sw,palavras_unicas_sem_sw,diversidade_lexical_sem_sw,n_verbos,n_substantivos,n_adjetivos,n_adverbios,n_preposicoes,n_auxiliares,n_conj_coordenadas,n_determinantes,n_pronomes,n_nomes_proprios,n_pontuacoes,n_conj_subordinadas,profundidade_media_sentencas,profundidade_minima_sentencas,profundidade_maxima_sentencas,diversidade_deps,n_oracoes_subordinadas,n_cc,n_conj,n_mark,n_discourse,n_entidades_total,diversidade_entidades,n_marcadores_exatos,n_marcadores_semanticos,similaridade_sentencas_argumentativas_media,similaridade_sentencas_argumentativas_min,similaridade_sentencas_argumentativas_max,similaridade_sentencas_argumentativas_std,similaridade_redacao_tema,nota_c3
0,6,2,3,1,33.17,19.83,5,1,3,1,39.8,23.8,0,199,135,0.6784,119,101,0.8487,27,53,11,12,36,4,4,23,7,18,21,7,6.0,3,8,29,17,6,4,7,0,10,4,5,0,0.7491,0.7245,0.7737,0.0348,0.8204,0
1,5,2,0,3,28.8,13.8,2,1,0,1,72.0,34.5,0,144,87,0.6042,69,55,0.7971,17,27,12,6,20,8,13,19,13,7,19,3,6.6,5,8,27,11,13,11,2,0,7,3,7,0,0.0,0.0,0.0,0.0,0.788,0
2,7,7,0,0,19.0,10.71,1,1,0,0,133.0,75.0,0,133,82,0.6165,75,56,0.7467,22,31,11,9,14,2,9,17,9,1,17,9,5.0,2,9,24,11,10,10,11,0,3,2,3,0,0.0,0.0,0.0,0.0,0.8518,0
3,8,2,5,1,31.12,16.12,6,1,4,1,41.5,21.5,0,249,152,0.6104,129,113,0.876,36,56,21,13,41,11,9,29,14,6,20,13,8.0,4,12,28,21,11,11,13,0,4,2,3,0,0.7583,0.6979,0.8096,0.0545,0.872,0
4,6,2,2,2,34.0,21.0,4,1,2,1,51.0,31.5,0,204,112,0.549,126,82,0.6508,24,47,21,10,31,3,6,35,4,18,20,4,7.83,6,11,27,15,6,8,4,0,9,3,8,0,0.8525,0.8525,0.8525,0.0,0.8948,0
5,4,4,0,0,23.75,14.0,1,1,0,0,95.0,56.0,0,95,62,0.6526,56,43,0.7679,9,28,10,11,18,4,4,9,0,0,10,2,6.25,5,7,19,7,4,4,2,0,0,0,5,0,0.0,0.0,0.0,0.0,0.8686,0
6,10,2,4,4,24.1,13.7,4,1,2,1,60.25,34.25,0,241,129,0.5353,137,101,0.7372,44,57,10,14,24,12,9,40,14,6,23,15,6.9,3,10,29,26,9,11,13,0,2,2,8,0,0.8021,0.7591,0.8361,0.0393,0.8762,0
7,2,2,0,0,61.5,34.0,1,1,0,0,123.0,68.0,0,123,90,0.7317,68,62,0.9118,20,32,6,8,20,7,5,17,3,0,10,7,7.67,7,8,23,12,5,5,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.8263,0
8,12,2,8,2,26.33,14.75,5,1,3,1,63.2,35.4,0,316,196,0.6203,177,156,0.8814,52,62,23,25,51,17,8,34,17,14,48,15,6.07,4,11,30,35,10,12,16,0,14,3,6,0,0.7393,0.6532,0.8172,0.0589,0.9227,0
9,5,1,2,2,39.2,22.4,4,1,2,1,49.0,28.0,0,196,128,0.6531,112,100,0.8929,19,56,14,6,41,4,5,25,6,15,14,5,7.17,4,10,29,11,5,5,4,0,8,3,2,0,0.7108,0.7108,0.7108,0.0,0.8974,0
10,7,1,5,1,32.0,20.14,4,1,2,1,56.0,35.25,0,224,153,0.683,141,127,0.9007,31,61,15,11,35,6,9,33,9,13,29,4,7.0,4,9,26,21,9,13,5,0,5,2,5,0,0.663,0.6084,0.7933,0.0875,0.8676,0
11,8,3,4,1,27.25,16.38,5,1,3,1,43.6,26.2,0,218,141,0.6468,131,113,0.8626,27,61,16,14,43,6,7,25,1,15,27,5,5.88,4,11,25,15,7,11,6,0,12,4,9,0,0.6123,0.5666,0.6823,0.0616,0.8462,0
